Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMAnkle,LMElbow,LMKnee,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMAnkle,RMElbow,RMKnee,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
499,0.0316596,0.02339,0.0443486,0.0129978,0.032049,0.0164765,0.0162173,0.0165268,0.0199001,0.0290787,0.0379089,0.0218994,0.0063718,0,0.0352588,0.0707251,0.0231871,0.0264563,0.0254069,0.0140534,0.017275,0.0194806,0.018738,0.0205896,0.0180496,0.0248184,0.0216264,0.00960595,0.0320262,0.024222,0.00939289,0.0271094,0.0218142,0.0127902,0.0143879,0.00448568,0.0312335,0.0283007,0.00678332,0,0.00874867,0.0604535,0.0136994,0.0109075,0.0234005,0.0319911,0.01587,0.0258116,0.0216223,0.0189618,0.0086703,0.0229995,0.013614
500,0.0318124,0.0234161,0.0445693,0.0130916,0.032098,0.0165978,0.0161948,0.0165691,0.0198727,0.0291707,0.037843,0.0219115,0.00634282,0,0.0352676,0.0707119,0.023158,0.0264206,0.0253711,0.0140245,0.0172352,0.0196837,0.0188619,0.0207392,0.0182435,0.0247885,0.0216857,0.00965405,0.0320945,0.0242629,0.00941574,0.0272077,0.0218915,0.0129531,0.0144284,0.00436381,0.0312425,0.0284202,0.00660326,0,0.00880828,0.0604892,0.0136757,0.0108232,0.0234303,0.0321062,0.0161258,0.0260268,0.0218228,0.019246,0.00862078,0.0231122,0.0136857
501,0.0320746,0.0234858,0.0448697,0.0131169,0.0322379,0.0167619,0.0162099,0.01649,0.0198814,0.0292762,0.0378173,0.0219446,0.00634196,0,0.035311,0.0707297,0.0231694,0.0264228,0.0253746,0.0140145,0.0170864,0.0199502,0.0190588,0.0209482,0.0185103,0.024798,0.0217824,0.00964777,0.0321627,0.0243053,0.00935839,0.0272979,0.0220069,0.0130302,0.014472,0.00420924,0.0312434,0.0285449,0.00654944,0,0.00885765,0.0605465,0.0136338,0.0107159,0.0234688,0.0321462,0.0164296,0.0262843,0.0220599,0.0195834,0.00855456,0.0232136,0.0136803
502,0.0323175,0.0235428,0.0451551,0.0131592,0.0323607,0.0169063,0.0162276,0.0164282,0.0198805,0.0293721,0.0377754,0.0219641,0.00634065,0,0.0353337,0.0707452,0.0231673,0.0264136,0.0253648,0.0139727,0.0169606,0.020202,0.0192438,0.021146,0.0187608,0.0247959,0.0218587,0.00964988,0.0322265,0.0243454,0.00931189,0.0273851,0.022111,0.013121,0.0145132,0.00407558,0.0312425,0.0286655,0.0064815,0,0.00890657,0.0606038,0.0135957,0.0106132,0.0235037,0.0321997,0.0167238,0.0265293,0.0222865,0.0199072,0.00849612,0.0233129,0.0136846
503,0.0323841,0.0235209,0.0453149,0.0133042,0.0323358,0.016957,0.0161984,0.0165434,0.0198141,0.0294305,0.0376494,0.0219297,0.0062964,0,0.0352711,0.070717,0.0230878,0.026334,0.0252797,0.0138408,0.017007,0.0203489,0.0193162,0.0212489,0.0188906,0.0247217,0.021847,0.00972705,0.0322812,0.0243753,0.00938794,0.027475,0.0221498,0.0133481,0.0145455,0.00401463,0.0312473,0.0287705,0.00622751,0,0.00896714,0.0606338,0.0135869,0.0105455,0.0235195,0.0323663,0.0169396,0.026696,0.0224454,0.0201365,0.00847267,0.0234213,0.0138066
504,0.0324267,0.0234866,0.0454594,0.0134581,0.0322908,0.0169871,0.0161683,0.0166736,0.019737,0.0294791,0.0375068,0.0218821,0.00624996,0,0.0351878,0.0706846,0.0229946,0.0262422,0.0251807,0.0136832,0.0170744,0.0204809,0.0193753,0.0213398,0.019004,0.0246358,0.0218148,0.00981019,0.032332,0.0244018,0.0094818,0.0275616,0.0221822,0.013594,0.0145753,0.00396663,0.0312507,0.0288715,0.00595604,0,0.00902752,0.0606623,0.0135817,0.0104821,0.0235314,0.0325448,0.0171441,0.0268491,0.0225926,0.020351,0.00845599,0.0235279,0.0139424
505,0.032579,0.0234963,0.0456826,0.0135475,0.0323367,0.017059,0.0161791,0.0166834,0.0196964,0.0295408,0.0374049,0.0218559,0.00623234,0,0.0351386,0.0706831,0.0229417,0.0261879,0.0251203,0.0135581,0.0170338,0.0206746,0.0195064,0.0214891,0.0191891,0.0245894,0.0218198,0.00984007,0.0323835,0.0244308,0.00949253,0.0276404,0.0222507,0.0137491,0.0146084,0.00388949,0.031247,0.0289772,0.00581354,0,0.00907771,0.0607133,0.0135589,0.010397,0.0235525,0.0326495,0.0173966,0.0270447,0.0227776,0.0206191,0.0084229,0.0236233,0.0139958
506,0.0328424,0.0235493,0.0459835,0.0135792,0.0324749,0.0171731,0.0162347,0.016575,0.0196923,0.0296165,0.0373437,0.0218508,0.00624632,0,0.0351235,0.0707138,0.022929,0.0261719,0.0250991,0.013475,0.0168875,0.0209295,0.0197089,0.0216962,0.019445,0.0245823,0.0218617,0.0098183,0.0324359,0.0244633,0.00941545,0.0277116,0.0223517,0.0138089,0.0146447,0.00378994,0.031236,0.0290881,0.00580302,0,0.00911788,0.0607873,0.0135183,0.010291,0.0235829,0.0326818,0.0176976,0.0272836,0.0230006,0.0209413,0.00837503,0.0237082,0.0139626
507,0.0330832,0.0235902,0.0462678,0.013626,0.0325943,0.0172668,0.0162937,0.0164837,0.0196779,0.029683,0.0372667,0.0218328,0.00626179,0,0.0350887,0.0707409,0.0229029,0.0261444,0.0250651,0.0133933,0.0167642,0.0211684,0.0198973,0.0218906,0.0196832,0.0245639,0.0218829,0.00980353,0.0324843,0.0244932,0.00935109,0.0277797,0.0224425,0.0138824,0.014678,0.00370996,0.0312234,0.0291946,0.0057779,0,0.00915783,0.0608609,0.0134814,0.0101902,0.0236093,0.0327274,0.017988,0.0275101,0.0232129,0.0212491,0.00833442,0.0237913,0.013938
508,0.0331402,0.0235536,0.0464264,0.0137587,0.03256,0.0172676,0.0162968,0.0165634,0.0195989,0.0297118,0.0371064,0.0217623,0.0062278,0,0.0349707,0.0707206,0.0228003,0.0260471,0.0249559,0.0132616,0.0168073,0.0213018,0.0199718,0.0219893,0.0198004,0.0244743,0.021817,0.00985813,0.0325234,0.0245094,0.0094221,0.0278493,0.0224763,0.0141013,0.0147019,0.00368229,0.0312165,0.0292858,0.00556139,0,0.00920957,0.0609033,0.0134727,0.0101234,0.023616,0.0328834,0.0181958,0.0276564,0.023355,0.0214602,0.00832476,0.0238827,0.0140384
